,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1862,"frozenset({'HRF-1', 'Holter Monitor 2'})",frozenset({'Ultrasound'}),0.00015074998115625234,0.04183311977086003,0.00015074998115625234,1.0,23.904504504504505,0.00014444363913908794,inf,0.9583113456464379
2864,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'PFS'})",frozenset({'Ultrasound'}),0.00015074998115625234,0.04183311977086003,0.00015074998115625234,1.0,23.904504504504505,0.00014444363913908794,inf,0.9583113456464379
1857,"frozenset({'HRF-2', 'Ultrasound 2'})",frozenset({'HRF-1'}),0.00015074998115625234,0.025552121805984773,0.00015074998115625234,1.0,39.13569321533924,0.00014689799927549788,inf,0.9745947983415002
2375,"frozenset({'MSPR', 'KFT', 'MELFI'})",frozenset({'CBEF'}),0.00015074998115625234,0.026004371749453532,0.00015074998115625234,1.0,38.45507246376811,0.00014682982260504204,inf,0.9741424802110817
1853,frozenset({'Glovebox Freezer'}),"frozenset({'MSG', 'LSG'})",0.00015074998115625234,0.00022612497173437853,0.00015074998115625234,1.0,4422.333333333333,0.00015071589282102444,inf,0.9999246136449303
1851,"frozenset({'Glovebox Freezer', 'LSG'})",frozenset({'MSG'}),0.00015074998115625234,0.044245119469360064,0.00015074998115625234,1.0,22.601362862010223,0.00014408003022999019,inf,0.9558989822842067
1850,"frozenset({'Glovebox Freezer', 'MSG'})",frozenset({'LSG'}),0.00015074998115625234,0.003768749528906309,0.00015074998115625234,1.0,265.34,0.00015018184223578707,inf,0.9963814549566528
1562,"frozenset({'FSL', 'ETC'})",frozenset({'EDR'}),0.00015074998115625234,0.007235999095500113,0.00015074998115625234,1.0,138.19791666666666,0.00014965915442895905,inf,0.9929136826234453
2319,"frozenset({'Saibo', 'CB', 'MELFI'})",frozenset({'CBEF'}),0.0003014999623125047,0.026004371749453532,0.0003014999623125047,1.0,38.45507246376811,0.0002936596452100841,inf,0.9742893764608309
2266,"frozenset({'Actiwatch Spectrum', 'HRF-1'})","frozenset({'Holter Monitor 2', 'Ultrasound'})",0.00015074998115625234,0.0018843747644531545,0.00015074998115625234,1.0,530.68,0.00015046591169601972,inf,0.9982661138333963
2546,"frozenset({'ELC', 'MELFI'})","frozenset({'EXPRESS Rack', 'GLACIER'})",0.00015074998115625234,0.0022612497173437854,0.00015074998115625234,1.0,442.23333333333335,0.00015040909780397317,inf,0.9978891820580474
1340,"frozenset({'TVIS', 'Holter Monitor 2'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
