Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ELC/MERLIN,Earth and Space Science/Biology and Biotechnology,External payloads/Refrigeration,0.000806452,0.000856164,0.001702128,0,0.017291066,0,0,0,0,0,0,0,0,0,0,0
MELFI/PGB,Multipurpose/Multipurpose,Refrigeration/Glovebox,0.000806452,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/PCBA,Human Research/Human Research,Crew health/Crew health,0.000806452,0.000856164,0.000851064,0.000723066,0,0,0,0,0,0,0,0,0,0,0,0
FIR/MSRR-1,Physical Science/Physical Science,Fluids/Materials,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portable Pulmonary Function System/RC,Human Research/Human Research,Crew health/Centrifuge,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/GLACIER,Earth and Space Science/Multipurpose,External payloads/Refrigeration,0.000806452,0.000856164,0,0.001446132,0.011527378,0,0,0,0,0,0,0,0,0,0,0
GLACIER/MDS,Multipurpose/Biology and Biotechnology,Refrigeration/Biology,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/MERLIN,Multipurpose/Biology and Biotechnology,Glovebox/Refrigeration,0.000806452,0.000856164,0.000851064,0,0,0.006276151,0,0,0.001610306,0,0.001805054,0.004357298,0.001517451,0,0,0.003278689
EDR/EPM,Multipurpose/Human Research,General science/Crew health,0,0.005993151,0.002553191,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/SLAMMD,Human Research/Human Research,Crew health/General science,0,0.005136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMCS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,0,0.004280822,0.000851064,0.000723066,0.011527378,0.008368201,0,0.003521127,0.001610306,0.004878049,0,0,0,0,0,0
MARES/WORF,Human Research/Earth and Space Science,Crew health/Earth observation,0,0.004280822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMCS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,0,0.004280822,0.000851064,0,0.005763689,0.008368201,0,0,0,0.003252033,0,0,0,0,0,0
HRF-1/Ultrasound,Multipurpose/Human Research,Crew health/Crew health,0,0.003424658,0.000851064,0.001446132,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/WORF,Multipurpose/Earth and Space Science,Refrigeration/Earth observation,0,0.003424658,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
IPU/MSG,Multipurpose/Multipurpose,Image processing/Glovebox,0,0.002568493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Ultrasound,Human Research/Human Research,Crew health/Crew health,0,0.002568493,0.001702128,0,0,0,0,0.001760563,0,0,0,0,0,0,0,0
ALTEA/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0,0.002568493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARES/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0,0.002568493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/CIR,Biology and Biotechnology/Physical Science,Biology/Furnace,0,0.002568493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/ELC,Biology and Biotechnology/Earth and Space Science,Plant/External payloads,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/TEPC,Biology and Biotechnology/Human Research,Biology/Crew health,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/UMS,Human Research/Human Research,Crew health/Crew health,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/TEPC,Multipurpose/Human Research,Refrigeration/Crew health,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/RC,Earth and Space Science/Human Research,External payloads/Centrifuge,0,0.001712329,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/MSG,Biology and Biotechnology/Multipurpose,Centrifuge/Glovebox,0,0.001712329,0,0,0,0,0.002016129,0,0,0,0,0,0,0,0,0
CBEF/GLACIER,Biology and Biotechnology/Multipurpose,Centrifuge/Refrigeration,0,0.001712329,0,0,0,0.00209205,0,0,0,0,0,0,0,0,0,0
ETC/FSL,Multipurpose/Physical Science,Stowage/Fluids,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/PCBA,Biology and Biotechnology/Human Research,Biology/Crew health,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERLIN/PCBA,Biology and Biotechnology/Human Research,Refrigeration/Crew health,0,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/ETC,Multipurpose/Multipurpose,General science/Stowage,0,0.001712329,0,0,0,0,0,0,0,0,0,0.004357298,0,0,0,0
CGBA/PFS,Biology and Biotechnology/Human Research,Biology/Crew health,0,0.001712329,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/FSL,Multipurpose/Physical Science,General science/Fluids,0,0.001712329,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/FSL,Human Research/Physical Science,Crew health/Fluids,0,0.001712329,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/Portable Pulmonary Function System,Multipurpose/Human Research,Refrigeration/Crew health,0,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/PFS,Multipurpose/Human Research,Refrigeration/Crew health,0,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
